2026-06-01 01:29:48 | INFO     | commands.public_commands | /add from R........ м..м........ ..: oopreemaa hrudhaya veenaeneevammaa
2026-06-01 01:29:48 | INFO     | player.youtube_service | Extracting stream: oopreemaa hrudhaya veenaeneevammaa
2026-06-01 01:29:49 | INFO     | player.stream_queue | User queued: Oh Prema Hrudaya Veena Lyrical | Deviputrudu |Venkatesh, Soundarya|S. P. Balasubrahmanyam, Prasanna (#2)
2026-06-01 01:29:49 | INFO     | commands.audit | user=R........ м..м........ .. cmd=/add invoked=/add args=[oopreemaa hrudhaya veenaeneevammaa] status=SUCCESS ok=True ms=1763 msg='Added to queue: Oh Prema Hrudaya Veena Lyrical | Deviputrudu |Venkatesh, Soundar'
2026-06-01 01:29:50 | INFO     | wakie.chat | Message typed
2026-06-01 01:29:54 | INFO     | wakie.chat | Send button clicked (resource_id: com.wakie.android:id/send)
2026-06-01 01:29:55 | INFO     | wakie.chat | Message sent
2026-06-01 01:30:39 | ERROR    | player.autoplay_manager | Autoplay extract failed for https://www.youtube.com/playlist?list=PL5HDCGtq1uZtGtAP1eTx34IATGVfHMelL: 
2026-06-01 01:30:39 | INFO     | player.audio_player | Streaming: Imagine Dragons - Believer (Official Music Video)
2026-06-01 01:30:41 | INFO     | player.playback_engine | Now playing: Imagine Dragons - Believer (Official Music Video) (attempt 1)
2026-06-01 01:30:42 | INFO     | wakie.chat | Message typed
2026-06-01 01:30:46 | INFO     | wakie.chat | Send button clicked (resource_id: com.wakie.android:id/send)
2026-06-01 01:30:47 | INFO     | wakie.chat | Message sent
2026-06-01 01:30:55 | INFO     | wakie.detector | New command from R........ м..м........ ..: /add yemito ivaala rekkalocchinattu ..
2026-06-01 01:30:55 | INFO     | bot.runtime | Command: /add from R........ м..м........ ..
